vector_seed,fold,model,text_score,entity_score,phrase_score
20260726,1,AliasAwareFusion,0.58,0.34,0.08
20260726,1,WithoutText,0.0,0.68,0.32
20260726,1,WithoutEntity,0.8,0.0,0.2
20260726,1,WithoutPhrase,0.6,0.4,0.0
20260726,2,AliasAwareFusion,0.6,0.32,0.08
20260726,2,WithoutText,0.0,0.64,0.36
20260726,2,WithoutEntity,0.8,0.0,0.2
20260726,2,WithoutPhrase,0.6,0.4,0.0
20260726,3,AliasAwareFusion,0.58,0.34,0.08
20260726,3,WithoutText,0.0,0.68,0.32
20260726,3,WithoutEntity,0.86,0.0,0.14
20260726,3,WithoutPhrase,0.64,0.36,0.0
20260726,4,AliasAwareFusion,0.58,0.34,0.08
20260726,4,WithoutText,0.0,0.68,0.32
20260726,4,WithoutEntity,0.86,0.0,0.14
20260726,4,WithoutPhrase,0.58,0.42,0.0
20260726,5,AliasAwareFusion,0.6,0.32,0.08
20260726,5,WithoutText,0.0,0.68,0.32
20260726,5,WithoutEntity,0.82,0.0,0.18
20260726,5,WithoutPhrase,0.6,0.4,0.0
